objective-c,Objective-Cは、プログラミング言語の一種。C言語をベースにSmalltalk型のオブジェクト指向機能を持たせた上位互換言語である。
jquery,jQueryとは、ジョン・レシグによって開発された、JavaScriptのライブラリである。エレメントの指定がCSSセレクタと同様の記述で選択ができる。「$」を「jQuery」のエイリアスとして定義されており、関数の呼び出しを容易にしている。また、関数をチェーンさせることで、より柔軟な操作が可能となっている。
mysql,MySQL（マイエスキューエル）は、オラクルが開発するRDBMS（リレーショナルデータベースを管理、運用するためのシステム）。オープンソースで開発されており、GNU GPLと商用ライセンスのデュアルライセンスとなっている。
linux,Linuxとは、Linuxカーネルを用いたオペーレーティングシステム(OS)を意味します。 unix 系OS の一種です。
c++,C++（シープラスプラス）は、C 言語の拡張として定義されたマルチパラダイムの汎用プログラミング言語です。日本では略してシープラプラ、シープラなどとも呼ばれます。
css,CSS(Cascading Style Sheets)とは、HTMLやXMLをどのように装飾するかを規定する仕様。従来のHTMLを、「構造」と「体裁」を分離するために提唱された。CSSでは、各メディアに合わせて表示を変更することが出来るほか、デフォルトの状態から複数のプロパティを上書きしていくことも可能である。
os-x,macOS (古くは、OS X または Mac OS X) はアップルが開発したデスクトップ用オペレーティングシステムです。1996年にアップルが買収したNeXT Inc.が1980年代から90年代にかけて開発したオペレーティングシステム、NeXTSTEP / OPENSTEPをベースにしています。
windows,WindowsはMicrosoft社が開発したクライアント、サーバー、モバイル用のOS製品群の総称です。開発の際のWindows環境にまつわる質問にこのタグを利用してください。
unity3d,他の Unity と混同しないよう気をつけて下さい。ここで言う Unity とは、ユニティ・テクノロジーズが開発したクロスプラットフォームなゲームエンジンです。3D/2D のアプリやゲーム、シミュレーションを作ることができ、VR や AR へ応用することもできます。
c,C言語（シーげんご）は、1972年にAT&Tベル研究所のデニス・リッチーが主体となって作ったプログラミング言語である。
onsen-ui,携帯端末用アプリのフロントエンドをビルドする為の HTML5 フレームワーク。
html5,HTML5 (HyperText Markup Language 5)とは、人間に読解が容易なセマンティックなコーディングを特徴とする、HTMLの5番目のバージョンである。HTML 4.xと比べ、より厳密な文章構造を要求する仕様となっている。また、article(記事)や、section(節)などの特別な意味を持つタグも追加されており、より「文書」としての意味付けを高度化させることが出来るようにな…
swift3,このタグはApple社主導で開発されているプログラミング言語Swiftのバージョン3.xに特有の質問にお使いください。バージョン3に特定の問題かどうか不明であるが、Swiftのバージョン3.xを使用していることを示したい場合には、バージョン指定のない[swift]タグや、プラットフォームを示すタグ[ios][mac][linux]などと併用してください。
visual-studio,VisualStudioの機能や使い方に関する質問に使うタグ。各言語やプログラミングに関する質問につける必要はありません。VisualStudioはMicrosoft製の統合開発環境(IDE)で、主にC++/C#/VB.netの開発に用いられます。
git,Gitはオープンソースの分散型バージョン管理システム、ないしその実装プログラムのこと。 git コマンド自身の使い方などを質問するときにこのタグを使います。
angularjs,AngularJS (アンギュラー・ジェイエス)は、 オープンソースのJavascriptフレームワークです。MV*アーキテクチャを構築されるウェブアプリケーションの補助となり、Javascript のコードを減らすことが目的となっており、主にシングルページウェブアプリケーションの開発を対象としています。
node.js,Node.jsはイベント駆動や非同期I/Oなどの特徴を有するアプリケーションプラットフォームであり、プログラミング言語にはJavaScriptを使用する。JavaScriptの実行にはV8エンジンが使用されている。
centos,"CentOS (セントオーエス・Community ENTerprise Operating System) とは、Red Hat Enterprise Linuxとの互換を目指したLinuxディストリビューションの一つである。CentOSにデフォルトで含まれるリポジトリはBase, Updates, Addons, Extras, CentOS Plusの5種。CentOS 6まではi386とx…"
android-studio,Android Studioは、IntelliJ IDEAベースのAndroid開発用IDEです。Android Studioやエミュレーターなどの使い方にこのタグをつけます。
sql,SQL（エスキューエル・シークェル・シーケル)は、リレーショナルデータベース管理システムにおいて、データの操作や定義を行うためのデータベース言語です。標準化はANSIやISOで行なわれましたが、何度も制定されなされているためベンダーによって対応が違います。
go,Go (golang) は、オープンソースの汎用プログラミング言語 です。C 言語からその構文スタイルをゆるく引き継ぎつつも暗黙的な静的型付け、並列化などが、複雑化を避けつつ表現可能になっています。元々 Google の従業員によって、システムプログラミング向けにデザインされた言語ですが、内外から様々な支持をあつめ、そのエコシステムは拡大しています。
iphone,iPhone(アイフォーン)とは、Apple社が製造しているスマートフォンである。2007年1月に最初のモデルが発表され、同年6月に発売された。ポータブル音楽プレーヤー・携帯電話・PDAの機能を併せ持つ端末として発売。電話回線としてはGSM専用機。後に、電話機能を除去したiPod Touchも発売される。
python3,Python バージョン 3.x 系特有の質問につけるタグです。[python] タグと併用してください。
aws,Amazon Web Services (AWS) は、Amazon社が提供する各種クラウドサービスの総称です。オンラインでインフラ構築を行えるように、仮想環境、クラスタ・コンピューティング、ネットワーク、データベース、ストレージに加え、様々な補助ツールが提供されています。
cakephp,CakePHP は、短時間でWebアプリケーションを構築できることを目的に開発された Web フレームワークです。Rails に代表される「設定より規約」の精神に乗っ取った開発／運用／デプロイのベースを提供しており、 MVC/ORM などのデザインパターンが採用されています。
r,Rはフリーかつオープンソースなプログラミング言語とソフトウェア環境で、統計解析、生物情報学、グラフ描画などに用いられます。質問の際は再現性のある最小限の例を添えていただけると助かります。統計に関する質問はhttp://stats.stackexchange.com (英語)へどうぞ。
.net,.NET FrameworkはMicrosoftによるアプリケーション開発・実行環境。C#、VB.NET、F#、C++/CLIなどの言語に対応している。.NETのベースになっている共通言語基盤(CLI)はECMAなどの団体で標準化されており、Monoプロジェクトなどのオープンソース実装も存在する。
json,JSON（ジェイソン、JavaScript Object Notation）は軽量なデータ記述言語の1つ
cordova,クロスプラットフォームなモバイルアプリ開発プラットフォーム。HTML・JavaScript・CSSといったウェブ開発の技術を使ってアプリを書くことができる。PhoneGapのオープンソース版。
アルゴリズム,アルゴリズムとは、プログラミングにおける、問題の解決手段や計算手法、実現手法またはデータ構造の扱い方、操作などを定式化したものです。数式アルゴリズムの妥当性や証明は[数学]タグがあります。データ構造（型）についての質問は[データ構造]があります。
bash,bashはUNIXで使用するシェル（端末でログインした際にユーザーから入力を受け付けているCUIプログラム) のひとつで、GNUプロジェクトのために書かれました。`#!/bin/bash` のシェルスクリプトについての質問はこのタグへ。`#!/bin/sh` のシェルスクリプトについての質問は[sh]タグへ。
apache,Apacheとして知られるApache HTTP Serverは、UNIX系やWindowsを始めとした様々なOSで動作する、オープンソースのHTTPサーバーです。
ubuntu,Ubuntuとは、Canonical 社の支援を受けて開発されている、DebianをベースとしたLinuxディストリビューションです。
realm,RealmはSQLiteやCore Dataの代替テクノロジーとなるべく開発されている、非常に高速でメモリ効率が良く、使いやすいAPIを備えたiOS/Android両方で使用可能なモバイルデータベースです。
wordpress,WordPress はオープンソースのブログシステム、CMS。 PHP で実装されており、主に DB に MySQL を使用する。
eclipse,Javaをはじめとするさまざまな言語に対応したオープンソースの統合開発環境。このタグはEclipseの機能や使い方に関する質問に使うもので、Eclipseで開発しているからといって使う必要はありません。
api,API(Application Programming Interface アプリケーションプログラミングインタフェース)は、プログラム間のインターフェイス仕様を定義したものです。
emacs,Emacs(イーマックス・Editor MACroS)とはUNIX環境で広く使われている、高機能かつカスタマイズ性の高いエディタ。Emacs Lispというプログラミング言語をエディタ内に実装しており、全ての編集コマンドはEmacs Lispによって実現されている。そのため、ユーザーがエディタのほぼ全ての機能を変更可能であり、一部の熱狂的なユーザーからはEmacsは環境であると呼ばれている。おおよ…
swift2,このタグはApple社主導で開発されているプログラミング言語Swiftのバージョン2.xに特有の質問にお使いください。バージョン2に特定の問題かどうか不明であるが、Swiftのバージョン2.xを使用していることを示したい場合には、バージョン指定のない[swift]タグや、プラットフォームを示すタグ[ios][os-x]などと併用してください。
vim,Vim (ヴィム・ヴィーアイエム・Vi IMproved)とは、クロスプラットフォームのテキストエディタの一つ。BSD公開の為に開発されたvi(Visual InterfaceまたはVIsual editor)の改良版として開発された。カスタマイズ性が高く、設定ファイルを用いることで幅広い個人設定が可能となっている。
nginx,Nginx (エンジン・エックス)は、軽量で高パフォーマンスな HTTP サーバ/リバースプロキシ/メールプロキシ です。 BSD-like なライセンスの下で公開されています。
wpf,Windows Presentation Frameworkの略で、Windowsアプリケーションのユーザーインターフェースを作成するためのフレームワーク。.NET Frameworkの一部である。
正規表現,正規表現（regex）とは、文字列の出現ルール／文字列集合を記述する表現の一つであり、一致パターンを短くコンパクトに表現できます。正規表現を使う検索／置換等をするための代表的なプログラムには、 grep/sed があります。
opencv,OpenCV (オープンシーヴィ)は、Open Source Computer Vision の略称。リアルタイムコンピュータビジョン分野向けのクロスプラットフォームなライブラリです。 1999 年に Intel により発表され、 現在は Itseez社によって管理されています。
ajax,Webブラウザ・サーバー間の非同期通信を用いてインタラクティブなWebサイトを作る手法。Asynchronous Javascript and XMLの略称。
rails-activerecord,「active record」パターンをRuby on Rails向けに実装したORM。
docker,Docker(ドッカー)とは開発者や管理者が、アプリケーションをソフトウェアコンテナ内でデプロイするのを自動化するオープンソースソフトウェアです。libcontainerというライブラリ(バージョン0.9から)とAufsというファイルシステムによってコンテナ仮想化を実現しています。
scala,オブジェクト指向プログラミングと関数型プログラミングの両方をサポートする汎用言語。JVM上で動作し、様々なコーディング上のパターンを簡潔に記述できる。http://www.scala-lang.org/
shellscript,"unix 系のシェルに対するスクリプト言語のこと。具体的に利用するシェルが想定されている場合は、そちらのタグを利用する方が望ましい。例: sh, bash, zsh"
raspberry-pi,イギリスのラズベリーパイ財団によって開発されているARMプロセッサを搭載したシングルボードコンピュータのこと。
laravel,LaravelはPHPで書かれたオープンソースのウェブアプリケーションフレームワークです。
http,HTTP(エイチティーティーピー)は、HyperText Transfer Protocol (ハイパー・テキスト・トランスファー・プロトコル)の略であり、ワールド・ワイド・ウェブ(WWW)において、コンテンツの転送に使われるアプリケーション層の通信プロトコルです。
django,Pythonで書かれたオープンソースのウェブフレームワーク。データベースと連動したウェブアプリケーションをMVCパターンで実装するための種々のコンポーネントを 1 つのパッケージで提供する。
asp.net,ASP.NET は Microsoft が開発している無料の Web アプリケーションフレームワークで、Web Forms / MVC / Web API / Web Pages / SignalR といったさらに個別のフレームワークから構成されています。
heroku,HerokuはHeroku社が開発と運営を行っているPaaSの名称。Ruby、Node.js、Python 等複数のプログラミング言語をサポートしている。
postgresql,PostgreSQLはオープンソースのORDBMS(オブジェクトリレーショナルデータベースシステム)で、Linux・UNIX・Windows・OS XといったメジャーなOSに対応している。
bootstrap,BootstrapはウェブサイトやWebアプリケーションを作成するフロントエンドWebアプリケーションフレームワークです。
bluemix,Bluemix は IBM による、オープンソース PaaS の Cloud Foundry をベースとする PaaS です。
spring,Pivotal 社によって開発されている、 Java のオープンソースフレームワーク。 DI コンテナを含む、様々なモジュールを提供します。
vagrant,Vagrant(ベイグラント)とは Hashicorp 社によって提供されるオープンソースのツールの一つです。手軽に作成と設定が出来、複写可能でポータブルな開発環境構築を実現できます。これは、 Vagrantfileという一つの設定ファイルに、作成する仮想マシンの設定を記述することによって実現されます。
google-maps,GoogleMaps(グーグルマップ)とはGoogle社が提供している地図、地域検索サービスです。特徴としては地図・航空写真・地形という表示方式が用意されており、縮尺を調節し世界を俯瞰することが可能という事や、ストリートビューという道路上から撮影されたパノラマ写真を閲覧出来る等があります。
github,GitHubとはGitバージョン管理システムを使用したソフトウェア開発プロジェクトのためのWebベースのホスティングサービス、およびその運営会社の名称です。GitHub固有の機能や、他のユーザーとの連携について何らかの問題を抱えている場合にはこのタグを使ってください。単にGitHubでホストされているというだけのGitに関する質問では、このタグは使わないでください。
google-chrome,Google Chrome(グーグルクローム)とはGoogle社が開発しているWebブラウザです。特徴としてはHTMLレンダリングエンジンにBlinkを使用している事やJavaScriptエンジンにGoogle V8 JavaScript Engineが使用されている事が挙げられます。
database,容易に検索・抽出などの再利用をできるように整理された情報の集まり。広義には人が紙に書いてまとめたものなどを含む場合もあるが、今日では、単にデータベースといった場合はコンピュータ上で作成、保管され、専用のソフトウェアによって管理されるものを指すことが多い。
google-apps-script,Googleの各種サービスで使えるスクリプト機能 Google Apps Script に関する質問に使います。
uitableview,なし。
twitter,Twitterは、 Twitter 社の提供するマイクロブログサービスです。ユーザは 140 文字までの短い投稿を「つぶやく（ツイートする）」ことができます。また、開発者向けに、 Twitter API (http://dev.twitter.com) が公開されており、API を利用することで、Twitters社のページ以外のアプリケーションからでもツイートの投稿や参照が可能になっています。
xml,XML（Extensible Markup Language）は、人間とコンピュータが理解可能な形式で文書をコード化するための一連の規則を定義したマークアップ言語です。W3CのXML 1.0仕様やその他いくつかの関連仕様でXMLを定義しています。
tensorflow,TensorFlowは機械学習のためのオープンソースのライブラリです。Googleによって開発され、2015年11月にオープンソース化されました。
security,このタグはアプリケーションのセキュリティやソフトウェアに対する攻撃に関するトピックにつけます。
network,複数のコンピュータを接続する技術または接続されたシステム全体のこと。関連しそうなキーワード: LAN/WAN/IP/TCP/インターネット/アドレス/ etc...
haskell,Haskell は純粋、遅延評価、静的型付けを特徴とする関数型言語。
機械学習,学習データから学習させ、新しい（未知の）データについての分類・推測などを行うための情報技術分野。についての質問。
ios8,iOSとは、iPhoneやiPadなどのApple製品に搭載されているOS。2014年9月18日リリースのが iOS 8である。
pandas,Pythonにおいて、Rにおけるデータフレームに似た型を持たせることができるライブラリ。 データ構造を変更したりデータ分析したりするときにも便利である。BSDライセンスのもとで提供されている。
gem,Gem (ジェム)は RubyGems パッケージ管理ソフトウェアにおいて、コードがまとめられたものを指します。また、gem は、RubyGems ツールを管理するためののコマンドラインプログラムでもあります。
xcode6,アップルの統合開発環境 (IDE) であるXcodeのバージョン6。このバージョンでのみ起こるIDEの問題について使ってください。
spring-boot,Spring Bootは、最小限の設定でプロダクションレベルのSpringアプリケーションを簡単に開発することができるフレームワークです。
android-layout,アクティビティやウィジェット用の UI といった、ユーザーインターフェイスのための視覚的な構造を定義するレイアウトである。
paypal,PayPalは、世界中で利用されている多言語、多通貨、多地域対応のオンライン決済プラットフォームである。
ssh,ssh(セキュアシェル・SecureShell)とは暗号や認証の技術を利用した、安全にネットワーク上のコンピュータと通信するためのプロトコルです。現在は、バージョン1と2という2種類のプロトコルが共存しており、脆弱性があるためバージョン1は使用が推奨されません。
facebook,Facebook（フェイスブック）は、フェイスブック株式会社が提供するインターネット上のソーシャル・ネットワーキング・サービス（SNS）である。
google-app-engine,なし。
c++11,"C++11 は， 2011年に ISO/IEC 14882:2011 として改定された C++ 規格のことを指します。 C++11 に特有の問題を取り扱う場合に、このタグを利用してください。具体例: 右辺値参照, 可変長引数, ラムダ式, など"
gulp,Gulp は JavaScript（Node.js） によるビルドツールです。多くのプラグインが npm のパッケージとして提供されています。
storyboard,Appleの開発環境Xcodeで使われる、GUI編集ツール。
xcode7,アップルの統合開発環境 (IDE) であるXcodeのバージョン7。このバージョンでのみ起こるIDEの問題について使ってください。
sqlite,SQLite(エスキューライト)は、オープンソースの組み込み型軽量データベースエンジンです。MySQLやPostgreSQL と同じRDMSと言えますが、サーバーとしてではなく、ライブラリもしくは共有ライブラリやダイナミックリンクライブラリの形で、利用されます。
sh,"sh ( 別名: Bourne Shell , ボーン・シェル ) は、 v7 Unix から長く標準的に使われている Unix シェルです。 POSIX がシェルの規格標準化を行っており、 環境依存を排除したシェルスクリプトを作成する際は、 `/bin/sh` の構文に従うべきです。"
rspec,Ruby向けテスティングフレームワーク。独自のDSLを使ってテストを構築する。
excel,"Excel(エクセル)は、Microsoft社の表計算ソフトウェアであり、Office 製品郡の一部です。 Excel タグは、直接プログラミングがかかわる質問に対してのみ使うようにしてください。通常は、 C#, VBA, DDE, OLE などのタグとともに使われるべきでしょう。 Microsoft Excel 製品の一般的な使い方にまつわる、プログラミングと関係ない質問は、スタック・オーバーフ…"
oauth,OAuthは認可のための標準のプロトコルです。 最新の標準は、2012年にRFCとして発行されたOAuth 2.0です(RFC6749、RFC6750)。
画像,画像ファイルを扱うときに付けられるタグ。ただし、画像に関するライブラリの利用がある場合そちらのタグを優先してください。
tomcat,このタグは、Apache Software Foundation（ASF）によって開発されているオープンソースのサーブレットコンテナであるApache Tomcat（または単にTomcat、以前はJakarta Tomcat）に関する質問に使用します。
vb.net,Visual Basic .NET の略で、マイクロソフト社製のBASICという言語のことである。
